experiment	commit	metric	status	description
0	8435f87	0.000000000	baseline	qualified bounded P9 conservative
1	333aa68	0.802976324	keep_development	beam4 full structural prefix; six P8-501 development seeds; 1/5/0
2	333aa68	0.802976324	reject_complexity	beam6 ties beam4 on every seed with higher mean runtime
3	69b2421	3.777558463	keep_development	depth12 width4 strict; two consumed cohorts; 2/10/0
4	69b2421	7.508684291	keep_development	depth12 width4 mean-audited; two consumed cohorts; 6/6/0
5	5fceb20	22.803857395	mechanism	CaseVO mock explicitly approved nine-action P10 prefix on consumed BA-501 seed
6	5fceb20	0.000000000	fallback	CaseVO mock selected P9 baseline on the same seed; no prefix action executed
7	7686bae	7.309729084	keep_development	plan_only versus P9; legacy six-family CaseVO terminal-gain ranker; 2/4/0
8	7686bae	0.000000000	mechanism	response_only versus P9; legacy independent gate remained closed; 0/6/0
9	7686bae	7.309729084	keep_development	combined equals plan_only on all six legacy cases; 2/4/0
